,$\rho$
0,0.9829805399111162
1,0.9746858700039781
2,0.9645225719815831
3,0.9581255745310727
4,0.9229930772179269
5,0.9814286169847918
6,0.9781546049260169
7,0.9792215185502757
8,0.9616042902042774
9,0.9917149145754768
10,0.9837835851439007
11,0.9916519106112031
12,0.9884680877706066
13,0.9845127853224003
14,0.9876525836877952
15,0.9828642215065311
16,0.9807711183206417
17,0.981301052827479
18,0.9812352819739792
19,0.9866526907375256
20,0.9852086457222495
21,0.9883759106173865
22,0.9861089741658682
23,0.9884144058508595
24,0.9670940201976158
25,0.993125015405742
26,0.9937281908250102
27,0.9933975652072586
28,0.9921217619926882
29,0.992850009472606
30,0.9651432412435041
31,0.9627813985699816
32,0.9863747486287547
33,0.9902815833787911
34,0.9735163136494577
35,0.9893203941683796
36,0.9782209695903216
37,0.9830698935401264
38,0.98809195670309
39,0.9929493192674923
40,0.9927608564694254
41,0.9925464364835308
42,0.992300593568715
43,0.992300593568715
44,0.9911641173758895
45,0.9906027111589617
46,0.9839171200112035
47,0.988026516001894
48,0.9804074143088253
49,0.9648827497849838
50,0.986230121942377
51,0.9779484545125187
52,0.9901591241022533
53,0.9910052407066194
54,0.9777655856779517
55,0.9871518277196598
56,0.9824710887124971
57,0.99080629684544
58,0.9868212587705153
59,0.9852462346839063
60,0.9740969757101464
61,0.9719065170532426
62,0.9782109111654603
63,0.9791632715553306
64,0.9759892918478832
65,0.956692987883474
66,0.9611608339001283
67,0.9810343146664752
68,0.9718700696252346
69,0.9827154413550176
70,0.9731600135610871
71,0.9720307235394587
72,0.9876587041687649
73,0.9801397482739066
74,0.979754614122949
75,0.9627842327028416
76,0.9763148114926857
77,0.9847104939258264
78,0.984559363686362
79,0.9762599237731294
80,0.9549960966775353
81,0.9723553565783687
82,0.965692173153191
83,0.9800304240374564
84,0.9847638591716233
85,0.9782606591679731
86,0.97217235867106
87,0.9594906345576482
88,0.9695264151699706
89,0.9592362439677247
90,0.9653479517905357
91,0.9690979527615318
92,0.9785901564737405
93,0.9271251788874009
94,0.9201512248167821
95,0.9213602843834546
96,0.9184678802883853
97,0.8572190720753488
98,0.7591253803049377
99,0.9520881041038404
100,0.884403442784728
101,0.9120517303914748
102,0.6867739322261306
103,0.7232628091396527
104,0.7922226131034672
105,0.5485122579607344
106,0.5738231232971859
107,0.5028150514410487
108,0.666587729601277
109,0.5126567050663018
110,0.6303652148820612
111,0.5181543220081893
112,0.28330647209328574
113,0.5750157494598286
114,0.6531250847191951
115,0.8143612933097757
116,0.9539770371148628
117,0.9428866534079686
118,0.8657562884880243
119,0.8741609341352
120,0.9032313856795924
121,0.8272088597574064
122,0.9274231736236594
123,0.9700904322917803
124,0.7913234358708082
125,0.957332762416526
126,0.9446946378890518
127,0.951004517905237
128,0.7900698116396805
129,0.7995959708916207
130,0.7136914427724321
131,0.7119000251338456
132,0.8089003285867054
133,0.7168624136419303
134,0.7990856732423387
135,0.9700669903990596
136,0.9640449476020763
137,0.9681766024116115
138,0.9770180437410966
139,0.9719726673318859
140,0.9798725296136165
141,0.9914153529963589
142,0.9720269611707999
143,0.9848550030756641
144,0.9821343011283634
145,0.9823924496264257
146,0.9937493461405995
147,0.9815105346670745
148,0.9897191545438164
149,0.9918071981580155
150,0.9779661958613798
151,0.9862885973069894
152,0.9939020826569718
153,0.9925042899633199
154,0.9925042899633199
155,0.9897239895855003
156,0.9866791317007672
157,0.991393441711541
158,0.9908874068430447
159,0.9811252363456273
160,0.9813011813648773
161,0.9878311900301318
162,0.9877293109583226
163,0.989527964503958
164,0.9893386285422936
165,0.9890545379464981
166,0.9779989437917085
167,0.9815531403703518
168,0.9863637157664382
169,0.9757563687386803
170,0.9810443572376587
171,0.9727522729992785
172,0.9697792551833636
173,0.9481038796807154
174,0.9657477393487534
175,0.9547343213668594
176,0.9568352721031003
177,0.9812610985301164
178,0.9529683149085239
179,0.9631315380481588
180,0.9558308652622225
181,0.8800105440101247
182,0.9827075342182414
183,0.9297096124141929
184,0.8664946356085395
185,0.7275571129282102
186,0.682341894181275
187,0.7028231149298185
188,0.9402301976758167
189,0.9256561624028853
190,0.9449959492363331
191,0.9385034711426273
192,0.9551297902174205
193,0.9177275284594995
194,0.9706940900956084
195,0.9552306462026003
196,0.9654922371884556
197,0.9554392096308928
198,0.9813934178313224
199,0.9700719296454263
200,0.9894608986524883
201,0.9877782820364769
202,0.9624805545972768
203,0.967744300510031
204,0.9628364480812409
205,0.9545060959499201
206,0.9147720439001658
207,0.9203536981301059
208,0.9647758169679228
209,0.9048013150822399
210,0.9807288218828217
211,0.9827335465827978
212,0.9802437174646433
213,0.9616701702450705
214,0.9287985223655347
215,0.962973712680121
216,0.9664534037170681
217,0.9692107517091912
218,0.9513266697076828
219,0.9786317735699829
220,0.9864211208183712
221,0.9686565825196457
222,0.95487888145587
223,0.9390913335924169
224,0.9054368494965913
225,0.9537768728864816
226,0.9431134747751804
227,0.974777810793451
228,0.8612876336074964
229,0.9792961638720588
230,0.9125348031570619
231,0.8889087018541899
232,0.9054631996370237
233,0.6437083997478054
234,0.8351871169990033
235,0.5380239555917983
236,0.8131301337040105
237,0.7400037704844531
238,0.847147558921793
239,0.3902613571775332
240,0.5132797481642966
241,0.7503993125008801
242,0.40351604050013234
243,0.6264904003726823
244,0.5694628870913317
245,0.7038697130725655
246,0.4503686414131281
247,0.4972437802275892
248,0.3212275611757977
249,0.1606049815348154
250,0.10990713960568642
251,0.08406754364070597
252,0.07442239203537242
253,0.11940189995974038
254,0.40066213853784094
255,0.42023843474672357
256,0.5671134230113912
257,0.7428880223563709
258,0.773714877681777
259,0.8286317124161703
260,0.8213412192370566
261,0.7696489194900089
262,0.47524733417006715
263,0.353878519035375
264,0.24535173974387386
265,0.18582772111078527
266,0.077423040875654
267,0.09746073297451453
268,0.11584541786308365
269,0.08474055830225101
270,0.1889608587752711
271,0.3162125247501901
272,0.21311151429893915
273,0.44241972485545744
274,0.6373366856842851
275,0.6247842520703233
276,0.6188625667848022
277,0.5534595930286867
278,0.39656811510128254
279,0.5609854537811406
280,0.5049140504094598
281,0.2580840328886624
282,0.2090887445049202
283,0.42517832262956834
284,0.5426607229431716
285,0.24697338407252004
286,0.43416343246012257
287,0.21436985579551432
288,0.2297699846754794
289,0.10493850089853891
290,0.2842408954204271
291,0.19409730688837717
292,0.33770294593235956
293,0.27181204398960945
294,0.18924229451048497
295,0.12974638530894356
296,0.16260030601909586
297,0.280651720894994
298,0.1930786156671944
299,0.19247528026814983
300,0.18187244461410723
301,0.41642495033798516
302,0.33555044758319974
303,0.3330979780103593
304,0.2678343455282022
305,0.4224429924225296
306,0.4014143803851833
307,0.4207647482101501
308,0.47967318470985243
309,0.5546196490399488
310,0.45792965997701723
311,0.5107819023460539
312,0.3816096768899966
313,0.3976477322937377
314,0.6014541530403595
315,0.5773490672275341
316,0.8122072844612228
317,0.7263742202454696
318,0.6487209807516732
319,0.848899847311781
320,0.6468849273322869
321,0.4470056760550168
322,0.1942933522785719
323,0.4244909613611409
324,0.5442251438054871
325,0.8004506530615769
326,0.7902316755199638
327,0.8024860344505581
328,0.6734687527378539
329,0.7775018466180774
330,0.608025576551076
331,0.5231295760178006
332,0.31929310057578225
333,0.31319972429311627
334,0.1617700084534941
335,0.17937255338269867
336,0.4026927762372009
337,0.44010510446678686
338,0.1579060410785707
339,0.11948007243825551
340,0.2906276970074581
341,0.4612478019720668
342,0.16424472077730187
343,0.19536465308482182
344,0.3209573991250445
345,0.3463939554362586
346,0.3964326707458568
347,0.5151835917893296
348,0.27665575498636286
349,0.29268262954497637
350,0.26868440087737006
351,0.2578259896955783
352,0.15528159596885752
353,0.14252874304190377
354,0.14564989824958827
355,0.13029724094248205
356,0.10482828404605603
357,0.05377674392080844
358,0.11253605947510259
359,0.028885073318291366
360,0.0192410676818475
361,0.029828014600464976
362,0.025847816375438596
363,0.05175707550918799
364,0.10129843333027277
365,0.09170992105902509
366,0.12869861384878145
367,0.05882802543008686
368,0.04829618714495622
369,0.051033938836035554
370,0.03476920626011214
371,0.027339872673410964
372,0.04286466705108708
373,0.011107527250301669
374,0.01285025730154781
375,0.013271421115726222
376,0.027096147406118445
377,0.021148948740689923
378,0.03846669460188226
379,0.030545552913924506
380,0.05911813173754191
381,0.026673058525994515
382,0.027949256700411925
383,0.05190740290096451
384,0.0676865082785493
385,0.031092667940271244
386,0.05681321084609676
387,0.009042892631789201
388,0.02152171155191685
389,0.0295200734854629
390,0.03702861557582742
391,0.019577374559288714
392,0.03393576394662448
393,0.004657468325006871
394,0.010836999117099016
395,0.013660404532571292
396,0.022308101278291845
397,0.04992898119667357
398,0.03681905392688661
399,0.0503555321390165
400,0.03721520654648398
401,0.025552273942548637
402,0.02037326040349162
403,0.015486750572765391
404,0.015384374545425
405,0.011099858361615502
406,0.015861617118370006
407,0.012761177120046948
408,0.02223071380620427
409,0.023770718321223308
410,0.011668589616596265
411,0.01482775699138953
412,0.01350292053475212
413,0.006970187669105729
414,0.013458454444308312
415,0.011151065971213684
416,0.012304755386368925
417,0.010610657838025865
418,0.006588844284183222
419,0.005740738225379907
420,0.005692633421465358
421,0.005164033948204688
422,0.003906753341753235
423,0.004761122338761938
424,0.007379085392544916
425,0.005568577301961625
426,0.015414359904591765
427,0.006623526656053837
428,0.016450918606294437
429,0.01199355679843133
430,0.00723790183083435
431,0.004797363412559097
432,0.003143517196033555
433,0.0034425894264073003
434,0.0025293778455308617
435,0.006967959045459045
436,0.00940806032833192
437,0.009422734807561148
438,0.010311736857004452
439,0.027207804039835564
440,0.02017281171298433
441,0.025622678885493872
442,0.010849410217966789
443,0.012668028641120484
444,0.018645748715982423
445,0.032993105013020024
446,0.008834281982189775
447,0.007949627574102015
448,0.01963141899821099
449,0.004612760223695521
450,0.005472014363553217
451,0.007329986659761487
452,0.0029197404799557744
453,0.0062966196410395225
454,0.002841815646590099
455,0.0027103776843249027
456,0.0028191462957292083
457,0.002268185408311392
458,0.0015310242264711287
459,0.0018776314609937573
460,0.005627011548331036
461,0.005238402825701859
462,0.004172249296037916
463,0.016836676149944926
464,0.005704551502802586
465,0.014825995200530746
466,0.025319063858365284
467,0.03387817595088024
468,0.12153911954575293
469,0.019698029348962795
470,0.028646068858820425
471,0.038307708023449974
472,0.008758871207592878
473,0.030362034052537866
474,0.009198974118317257
475,0.021191794681025288
476,0.0403453658171066
477,0.0264570191664171
478,0.0499450690394769
479,0.024154772634885368
480,0.04059981781523484
481,0.026614821529172113
482,0.022401635899297143
483,0.16869807346227994
484,0.13792067919433357
485,0.2588963397060035
486,0.18668832212362543
487,0.2881512896848778
488,0.07875045161665856
489,0.09193586809441544
490,0.18029600163521556
491,0.2621897294407611
492,0.2289328556258359
493,0.46764473604056256
494,0.49047851731760717
495,0.5492236852305429
496,0.7768049431276167
497,0.803575299498402
498,0.9256104593096534
499,0.870505640743275
500,0.7904091413659106
501,0.7893989042960516
502,0.7881641969903307
503,0.8225915426490763
504,0.7450886542335765
505,0.767104316217127
506,0.6820149566287417
507,0.6936186957999154
508,0.2624799865755499
509,0.8428953241707711
510,0.8384016436381564
511,0.8274789387799463
512,0.8285182655327619
513,0.7157858926018873
514,0.5873727679997697
515,0.7038357394491376
516,0.8524679438027986
517,0.4031301121001376
518,0.6506136841480705
519,0.6344167735528018
520,0.5894500526699853
521,0.5897263844213984
522,0.4854744059893479
523,0.36257134863626134
524,0.6818008931826419
525,0.7958672468665369
526,0.7671041223045095
527,0.8173138589432913
528,0.8921680981336454
529,0.8191466884434228
530,0.7498354638988266
531,0.4987393846261467
532,0.30312237803781067
533,0.7522921816324781
534,0.6593272773344835
535,0.7335197044753539
536,0.567216830158105
537,0.9500679127926337
538,0.9659058541366872
539,0.9661367541296012
540,0.9244091853822204
541,0.9409621562920358
542,0.9652274851222963
543,0.9643611530961458
544,0.9594050362697748
545,0.93304863081448
546,0.876157775525557
547,0.9855516328971119
548,0.9616881954677754
549,0.9627273802796676
550,0.9836924731393129
551,0.9784165055659031
552,0.9917685112883337
553,0.9873014570554222
554,0.9805310539730409
555,0.9862664998063387
556,0.9848788028035295
557,0.987694314628895
558,0.9883333356900277
559,0.985999166365278
560,0.9863912852449289
561,0.9929103330590897
562,0.9922772757971673
563,0.9923699252502588
564,0.9924735791567652
565,0.991971029308552
566,0.9923656009690275
567,0.9895819689016853
568,0.9896626114394036
569,0.9904231932056727
570,0.9904231932056727
571,0.98262260139206
572,0.9856925678043671
573,0.9860803586198996
574,0.9910329015948576
575,0.9932387328257704
576,0.9930316950351402
577,0.9927779656234527
578,0.9928311538286375
579,0.9926647762597942
580,0.9925234287889315
581,0.9919376457715661
582,0.9913669352464808
583,0.9904588253556137
584,0.9895723082791599
585,0.9895723082791599
586,0.9895723082791599
587,0.9893772412266947
588,0.9891588429379919
589,0.9894308394691818
590,0.9894308394691818
591,0.9894308394691818
592,0.9894308394691818
593,0.9891442908244679
594,0.9897483889661142
595,0.9897483889661142
596,0.9895264241267203
597,0.9895264241267203
598,0.9893454115849001
599,0.9894499707396972
600,0.990103556343983
601,0.98997128172765
602,0.9877176564577085
603,0.9877176564577085
604,0.9872031962885786
605,0.9872031962885786
606,0.9878646248021484
607,0.9925567777515752
608,0.9868519727172801
609,0.9855234869235531
610,0.9855234869235531
611,0.9855234869235531
612,0.9881977517590422
613,0.9878620417100805
614,0.9882806188459075
615,0.9882806188459075
616,0.9883292911966485
617,0.9898810340237779
618,0.9792224681012939
619,0.9770171046555647
620,0.9868654033864017
621,0.9790563451700479
622,0.9835979008256654
623,0.9763497452942874
624,0.9805215217394702
625,0.9747800718567231
626,0.9774043459898168
627,0.9573600569917406
628,0.9779210497221025
629,0.9884340153439707
630,0.9886561046462586
631,0.9809308538486442
632,0.9855709888462683
633,0.9737407115513892
634,0.9698262877733244
635,0.97266627927351
636,0.9828894672879476
637,0.9827563559338801
638,0.9819161370210208
639,0.9757770354309327
640,0.9905502070002713
641,0.9761534770161456
642,0.9805280377001702
643,0.9638377897776408
644,0.9717839528956879
645,0.9478910898155412
646,0.96858078175849
647,0.9751224648825547
648,0.9657650880642269
649,0.9535156357171651
650,0.9660392075715797
651,0.9600860857941479
652,0.9387816452429008
653,0.8154220085257404
654,0.9452885844857996
655,0.9436256140447495
656,0.936190949368405
657,0.9486499820528731
658,0.9086075840084965
659,0.9266260676977527
660,0.8441539237870743
661,0.8209580910708781
662,0.869724083612913
663,0.6189436496704518
664,0.5196106467806095
665,0.2865659170225224
666,0.22144881249884327
667,0.10702670522089573
668,0.8077699030172741
669,0.7930039091621647
670,0.7856888633073675
671,0.4687717778803548
672,0.36571655971518735
673,0.22397423765149443
674,0.11734545781878945
675,0.16925545820227025
676,0.10058785109539416
677,0.12784866738790895
678,0.10024273865237464
679,0.025729871729336055
680,0.045263984426631126
681,0.03802561902911915
682,0.09049705185079798
683,0.11663101141006997
684,0.03814981086444467
685,0.04496274504882186
686,0.042874620785111256
687,0.10637471285803166
688,0.06070337369667912
689,0.0627786725405561
690,0.050898239670380534
691,0.0680802189587883
692,0.09314587352074828
693,0.03552228488961813
694,0.039145343137053194
695,0.03186823521319581
696,0.04324756075810917
697,0.04742966567127209
698,0.08190523362633807
699,0.05199381997978728
700,0.0529296260305647
701,0.04289451404632717
702,0.0793533000292357
703,0.04371073453086987
704,0.03199702455851218
705,0.14192465094460427
706,0.15700602188573692
707,0.10121109431808477
708,0.10124099609703993
709,0.07329312389580099
710,0.18071776339212994
711,0.16697054467842581
712,0.13300906786800787
713,0.12708693213612254
714,0.4866988159569895
715,0.4915160563155422
716,0.242332451907585
717,0.19210732019236654
718,0.20542478401696107
719,0.09866620715464838
720,0.5161756055879922
721,0.15676126627494238
722,0.3229204198015434
723,0.19188602506748165
724,0.741704733263906
725,0.34342890688315253
726,0.4726989612428439
727,0.7803792096220986
728,0.7130030376434098
729,0.727449940090286
730,0.8327925979912884
731,0.7938927182432264
732,0.7941248065953312
733,0.8011864651060601
734,0.6939434478615895
735,0.8721702071830457
736,0.9163001456164466
737,0.9126571828201965
738,0.883498230304027
739,0.8322272129919484
740,0.7722000794290887
741,0.36021236316560273
742,0.28991167871986445
743,0.4429423027913206
744,0.4228190461275178
745,0.4146975248654921
746,0.37910234871025544
747,0.1768709631440566
748,0.1875295948032498
749,0.42225906040470446
750,0.36025655279135016
751,0.4096025830864027
752,0.25752647455513505
753,0.08197077475161488
754,0.26707736398405757
755,0.3467417439097097
756,0.2866780967437216
757,0.27741641051447363
758,0.52310751333878
759,0.25284621654802
760,0.2968823986465269
761,0.12896774529973867
762,0.25504047477361286
763,0.16762777097697248
764,0.28834182336898007
765,0.4720445353978074
766,0.49392158656895147
767,0.7834725425393753
768,0.5772312727942774
769,0.8679547280964628
770,0.7740723855943602
771,0.6765080338707288
772,0.769888345648714
773,0.46262712820952945
774,0.5976222286739956
775,0.5624238305667979
776,0.34188061440203543
777,0.496081479894988
778,0.4531201241944199
779,0.2455332876277199
780,0.17665843305329948
781,0.08038109482042016
782,0.19243700869587038
783,0.3418360746761994
784,0.266990933951836
785,0.3577698309767678
786,0.2668724410823849
787,0.43509988839126656
788,0.42029449387706797
789,0.6857218663119428
790,0.5606801081905443
791,0.73734891681406
792,0.6004242031769635
793,0.5814234118500546
794,0.32609562216843063
795,0.6006354782301924
796,0.23729043584938067
797,0.1834516034361478
798,0.30359684073738863
799,0.3425545044142091
800,0.4136181042742842
801,0.5212993567099478
802,0.13104248061514875
803,0.07037798033779415
804,0.06869766716467819
805,0.04866031329350522
806,0.12510380447597583
807,0.13966105909282675
808,0.19255436514395596
809,0.18927877897980122
810,0.26228935888533067
811,0.3046260888828694
812,0.34113178839562525
813,0.37349228364782144
814,0.509260476646614
815,0.7450951320194018
816,0.7868314090008514
817,0.5088046980328037
818,0.5331104346739024
819,0.5954078628341568
820,0.4845848698671535
821,0.33896640433927977
822,0.34367702599247524
823,0.49758210188915986
824,0.12465302647194675
825,0.06502461003500862
826,0.0812186141748055
827,0.10528417655449761
828,0.05492977257142319
829,0.07776388464616958
830,0.06691871703719941
831,0.05148572797143945
832,0.07178025972157025
833,0.17498997137984076
834,0.12530729518965086
835,0.18416151462481384
836,0.1508179609793701
837,0.06577970932920854
838,0.04583013853384141
839,0.04982240569496634
840,0.15611519443060057
841,0.13885706610269188
842,0.08787447449152548
843,0.18726541840546362
844,0.16221297171376822
845,0.21213058136467297
846,0.16697122029371897
847,0.25737431730270016
848,0.21098544805438255
849,0.11257123514158965
850,0.30971619548193824
851,0.17367418800849216
852,0.2946644119623041
853,0.18771987335101653
854,0.11178427430427286
855,0.057924356926810756
856,0.04253641365077025
857,0.18024658151713932
858,0.10909686092486255
859,0.11462410118426479
860,0.04546245502623124
861,0.0877556970061187
862,0.3648422473819133
863,0.16140222762500203
864,0.2103858407600536
