,$\rho$
0,0.0007949268045218081
1,0.0008037788877970656
2,0.0013722203030958593
3,0.0014317465485983527
4,0.0009193247312983266
5,0.000903580607173741
6,0.0005152698741044824
7,0.00046936946361434513
8,0.001063933609146493
9,0.001641121610114072
10,0.0007754808823145989
11,0.0008396821939603503
12,0.0013808549655935395
13,0.00197981158415259
14,0.001333799071135244
15,0.0014395663097781443
16,0.0027857074219265784
17,0.002312984591100887
18,0.0017417828856491555
19,0.001158335874022196
20,0.0014266238505921053
21,0.0014426204697469628
22,0.0015008795181634378
23,0.002597825828714231
24,0.0016980072467124908
25,0.0010527019360953558
26,0.0013659223072435768
27,0.0015348995349590275
28,0.0009370272140773483
29,0.0008811284913028349
30,0.0013089195450825594
31,0.0006170123663808114
32,0.00033119311593095003
33,0.0005791494768916022
34,0.0002693332238713424
35,0.0004018887677376033
36,0.00014872887861403037
37,0.00011460414308375012
38,0.00024065980654266206
39,0.0003309102479297675
40,0.0003284431273898622
41,0.00038773144446797023
42,0.00033323405361962893
43,0.0002875176763664046
44,0.0006537150099793824
45,0.00047522220045716755
46,0.0009652700486333856
47,0.0014034692204661148
48,0.001383632850590161
49,0.0015868469781992497
50,0.002083475171469664
51,0.00423726550869679
52,0.005481012849662542
53,0.009330128945885701
54,0.0024938644946655335
55,0.008760465888073728
56,0.011783425995084666
57,0.004520003115745564
58,0.006727242147533387
59,0.003303407651068734
60,0.005871407692239472
61,0.006189841160074069
62,0.009467337796468904
63,0.01274772138276503
64,0.004984704771237644
65,0.004643653082807411
66,0.004040312793884776
67,0.0022360439337614554
68,0.001105664524570813
69,0.00098173349164811
70,0.004238162351194913
71,0.0037533592677156287
72,0.001800170668414975
73,0.00435325804565923
74,0.0070744786546434015
75,0.006648422272514657
76,0.013574103266215833
77,0.019369540510058722
78,0.017612414964096892
79,0.03909087111370533
80,0.1134136595645938
81,0.10246952367086808
82,0.05536061544290492
83,0.08164234113876379
84,0.07521800134421013
85,0.06920480977280787
86,0.02815012814335679
87,0.014006231182293192
88,0.006396297178115157
89,0.017341352810094388
90,0.006037571438550746
91,0.009843935149378844
92,0.0068283816409053935
93,0.0027778839814023575
94,0.005851438092021753
95,0.012571618429844545
96,0.025045538179655966
97,0.020971244288971663
98,0.01797995641183171
99,0.008407684048176947
100,0.006118572793556904
101,0.0025434190326981817
102,0.0017033743679265663
103,0.0015859628390199215
104,0.001673170119527905
105,0.0025006742304320042
106,0.0018463895523728867
107,0.0007859353576428074
108,0.0012157958694924186
109,0.0012829695878203266
110,0.002744503035425642
111,0.0015849882443812347
112,0.005509102831980243
113,0.0031222646282961703
114,0.0019890158133278523
115,0.00213122643161041
116,0.0019867959390707235
117,0.0009492772930062643
118,0.0013382026721731055
119,0.0013138464813668412
120,0.0022257529021106172
121,0.0024447002291789464
122,0.0009828318069007216
123,0.0014919496887991837
124,0.00156516659844299
125,0.0017978485427261432
126,0.0028620135401554304
127,0.004277953391990984
128,0.0024670978900780353
129,0.0022362535997532402
130,0.0018146070067890962
131,0.0008283399190605099
132,0.0004208246584764556
133,0.0004788958731142928
134,0.0003663423153259342
135,0.00022461358447072063
136,0.0005006008807610547
137,0.0005453721491664204
138,0.0007047367479871968
139,0.0003666278618510984
140,0.00045906603900345357
141,0.0006065201383341568
142,0.000578365830315043
143,0.0008126445603141672
144,0.000715913217171031
145,0.000426242853320384
146,0.0006136244915370346
147,0.0010939018024991476
148,0.0007728088133430726
149,0.0013145649920196002
150,0.0033472504914070934
151,0.0034429874277892045
152,0.0026716245783412547
153,0.003854102697018281
154,0.0019434846560666935
155,0.004175796977611023
156,0.007162919891476006
157,0.0025316252302462895
158,0.003432959137792917
159,0.0030368177153865224
160,0.003779479767451612
161,0.00407307631557158
162,0.006113934805989596
163,0.0050609896598759006
164,0.006827920519523909
165,0.006455951481639851
166,0.00321067088870222
167,0.008226207720336018
168,0.011088401208321046
169,0.014974142947315418
170,0.016354251007705285
171,0.021838643712578012
172,0.04902977846521107
173,0.018869003962732573
174,0.033602357219074334
175,0.028882875367406982
176,0.014865549740400549
177,0.019493344655019184
178,0.013666689079853927
179,0.028756835909801968
180,0.03303837399315199
181,0.022607660275747656
182,0.013315076650233765
183,0.025040303327012327
184,0.010451964260343505
185,0.007887106415141714
186,0.015626233774753213
187,0.015860785204716638
188,0.017308994306890528
189,0.04439239049828285
190,0.014262279680803852
191,0.035583280246134774
192,0.05214329189198235
193,0.05089410860782065
194,0.09376462073406809
195,0.10250777708670847
196,0.18895339749908657
197,0.23104433539188407
198,0.22043897532113516
199,0.3698580913106503
200,0.3441703798356222
201,0.6658796112557324
202,0.4295563727159439
203,0.3207377620694815
204,0.7565692371017896
205,0.733404242224978
206,0.7285558319975567
207,0.8116900441704524
208,0.7931704698370935
209,0.9714197650065899
210,0.9411117825342116
211,0.8787895090420892
212,0.8241891267689849
213,0.8933792350616394
214,0.9006438162968273
215,0.8529520936319238
216,0.8096491893350021
217,0.4804767602841431
218,0.6102875868886868
219,0.5559560309403353
220,0.6162358566900447
221,0.5637693509694331
222,0.6901461745756332
223,0.7922296195293507
224,0.8982383632140846
225,0.9051368056262833
226,0.947430662328058
227,0.8866784028593806
228,0.8647985308994922
229,0.8595122718634987
230,0.912924684715262
231,0.7648658892485781
232,0.7692967644554415
233,0.9545530014229261
234,0.9046855025790521
235,0.7115666232140685
236,0.5932296694052249
237,0.7131481028564082
238,0.6694959277680285
239,0.7820300599973566
240,0.8128566520570631
241,0.7309760207586056
242,0.48286538699288284
243,0.46442536939860635
244,0.6203076140517272
245,0.4024398081043066
246,0.495098401913184
247,0.38431796757801323
248,0.5987034137558351
249,0.6035357898553133
250,0.6847523657690937
251,0.57744188523569
252,0.21028317866896648
253,0.39054669247934537
254,0.14398560715865613
255,0.1981380912319343
256,0.25505310234636497
257,0.1430758042182485
258,0.07436185455608837
259,0.08083953204395558
260,0.17513754581414842
261,0.12213953391912516
262,0.15683072288989225
263,0.11753559713455444
264,0.11546173546338441
265,0.19522560143407855
266,0.10113559631710922
267,0.14980425015688453
268,0.16288940957655673
269,0.12479509932601845
270,0.1506553476285914
271,0.3281040910826925
272,0.23665095372866887
273,0.31210663286837703
274,0.287717255841806
275,0.40274038656743055
276,0.407722391643622
277,0.6658983870965625
278,0.6638191686198669
279,0.7275519317820871
280,0.7108031889623221
281,0.7162564335535961
282,0.9413707699414768
283,0.9226998048587725
284,0.9401329179569977
285,0.886225665675514
286,0.9167030576245377
287,0.9002101576339677
288,0.9686142072826408
289,0.9701438272531503
290,0.9516050939089594
291,0.9435881595980979
292,0.9435881595980979
293,0.9697469785398181
294,0.948412359484021
295,0.948412359484021
296,0.949986903553616
297,0.9464282961428468
298,0.9389283725510856
299,0.9749751002100518
300,0.9504703348973711
301,0.9537309967322131
302,0.966073757733548
303,0.9604778824088707
304,0.969787304784842
305,0.9648206250596457
306,0.8802641622015112
307,0.9083378678609834
308,0.9257746525630696
309,0.8988993309205531
310,0.9284083712755902
311,0.9699449253843918
312,0.9333715745034656
313,0.97609038309619
314,0.9398482463607198
315,0.9611516591072455
316,0.8706632541063939
317,0.9335077784464159
318,0.8813115702099057
319,0.7879422198006693
320,0.8123054218919398
321,0.7717746863456453
322,0.8714465639648926
323,0.9437318035354838
324,0.9015290260086046
325,0.9498505098199511
326,0.958883492545113
327,0.95284803598678
328,0.9444534935649529
329,0.9567437960225496
330,0.8299157275017144
331,0.9261262230989739
332,0.8874085428845921
333,0.924499347006167
334,0.9127655599659611
335,0.6392278055780016
336,0.5006114602591657
337,0.35715455061512724
338,0.14988665357136613
339,0.36802069163326895
340,0.40425449856744955
341,0.31487278240099587
342,0.2692586387727604
343,0.19046907629156887
344,0.1495185521649335
345,0.14739139856579275
346,0.125579783152279
347,0.1266837430761014
348,0.1616421109158261
349,0.046729194825772785
350,0.037266395905126266
351,0.1636665435984235
352,0.3470908406182969
353,0.40015153058195857
354,0.36835626175561187
355,0.22178871492554147
356,0.4024711172432386
357,0.31508069011234674
358,0.541931599348233
359,0.6597115581824828
360,0.5625825551283512
361,0.3263449580288473
362,0.3220219598247437
363,0.31782430625186464
364,0.28724526183067445
365,0.6416542552042253
366,0.7422568803275239
367,0.8661832008077727
368,0.8348758804012898
369,0.8852557892587978
370,0.8571761933307226
371,0.7826413954657148
372,0.7343611503910631
373,0.6855413695116661
374,0.7154108552028422
375,0.4300988010738166
376,0.38269442198815445
377,0.12311341465089516
378,0.25873133366695433
379,0.11316431122896771
380,0.08958112903714668
381,0.052214742296489015
382,0.10844452683638697
383,0.025732605855279023
384,0.021591215086539932
385,0.022768816041155108
386,0.02792001644429713
387,0.024323059517123553
388,0.02315604473952215
389,0.021205741198525273
390,0.04231999845255733
391,0.02503677918827575
392,0.01928737096404459
393,0.009389815790748357
394,0.005402621155770645
395,0.009653264334383245
396,0.005065504978319257
397,0.004446165649685845
398,0.002792930368060741
399,0.007529432665778901
400,0.006319427147586982
401,0.012681171804681753
402,0.015173474547063536
403,0.013311801991923815
404,0.005785887910917177
405,0.021607079886234032
406,0.009421346193322636
407,0.021472049926598003
408,0.016333798343368396
409,0.012763060612455608
410,0.0253296600246671
411,0.015437382205411203
412,0.04305002032938369
413,0.10391764640875195
414,0.039198757933201746
415,0.08854194371027638
416,0.06102663863049664
417,0.1524117668909908
418,0.08199832705984475
419,0.12599272304448425
420,0.07711081698609451
421,0.11313384200371061
422,0.14691753642886593
423,0.16843514977525492
424,0.14807385297303782
425,0.3240072514623523
426,0.43141941837520076
427,0.2142432833794546
428,0.443509784245085
429,0.21126727626263372
430,0.12408769137786678
431,0.227595317733285
432,0.19504238291622938
433,0.21114252633127314
434,0.08452318266529411
435,0.08875372979954173
436,0.08873010542261309
437,0.17745166645475416
438,0.06826724316026257
439,0.18403335349642427
440,0.1301966598875507
441,0.19977785471090423
442,0.06641348066963411
443,0.06637859317301945
444,0.058630596335700315
445,0.058840306163629126
446,0.026543043201353426
447,0.011601612370105582
448,0.014691445580582427
449,0.01634000899288947
450,0.03564451433388342
451,0.04337903203180584
452,0.07927357066685817
453,0.12786488831527085
454,0.3152851248405471
455,0.4214723302911761
456,0.3734858539047301
457,0.2995612461956877
458,0.34929128606284016
459,0.7324180014440067
460,0.31483513108028344
461,0.0710589834103579
462,0.20882006453534105
463,0.24259549881239925
464,0.09772388607076107
465,0.04629057716136575
466,0.051031909689175245
467,0.049747059271877996
468,0.04489942520768339
469,0.057864101152974884
470,0.05836815733558733
471,0.04249589388067137
472,0.11585736465084083
473,0.15190922064794302
474,0.23640837778754814
475,0.2327390219924994
476,0.22151396108593344
477,0.3979015286599084
478,0.7447386319931538
479,0.7058288618329845
480,0.5138990453637212
481,0.7387900110239408
482,0.5984341097551495
483,0.3628393161489902
484,0.4146957148343732
485,0.4892985746398017
486,0.3459014231411757
487,0.5275976946512583
488,0.5386757542211049
489,0.34811078411464785
490,0.6376391925639375
491,0.5587185537407601
492,0.5935733773219037
493,0.5059982533429664
494,0.8434739627176745
495,0.8960734054175505
496,0.8867267070710786
497,0.8090543403415582
498,0.8422858862557272
499,0.4801962467077504
500,0.3865046492071731
501,0.5450469199508268
502,0.8232997030335361
503,0.7612818196974557
504,0.813790207774789
505,0.6591057217123335
506,0.6091316857328654
507,0.6134570322352857
508,0.6778380511741657
509,0.5261182811943559
510,0.3092773128564593
511,0.4043166287610163
512,0.3483448874177917
513,0.6474968737925021
514,0.7517705706767464
515,0.8661275479750978
516,0.5882875726337506
517,0.47189379954887806
518,0.3086068581169114
