,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
$\beta_i$[0],16.542,1.108,14.536,18.697,0.034,0.024,1083.0,3335.0,1.01
$\beta_i$[1],0.659,0.098,0.465,0.836,0.002,0.002,1850.0,2693.0,1.0
$\beta_i$[2],1.169,0.224,0.747,1.586,0.004,0.003,2502.0,5273.0,1.0
"$u_i$[0, 0]",1.513,1.358,-0.652,3.907,0.097,0.073,206.0,240.0,1.02
"$u_i$[0, 1]",0.359,0.884,-1.3,2.061,0.025,0.018,1091.0,6236.0,1.0
"$u_i$[0, 2]",1.697,1.439,-0.57,4.09,0.104,0.074,210.0,2371.0,1.02
"$u_i$[0, 3]",2.031,1.65,-0.533,4.733,0.124,0.088,199.0,881.0,1.02
"$u_i$[1, 0]",-0.736,1.003,-2.578,1.083,0.043,0.031,547.0,5337.0,1.01
"$u_i$[1, 1]",-0.899,1.057,-2.815,0.973,0.053,0.037,429.0,4922.0,1.01
"$u_i$[1, 2]",-1.305,1.231,-3.425,0.776,0.077,0.055,289.0,3678.0,1.01
"$u_i$[1, 3]",-0.212,0.878,-1.911,1.472,0.011,0.014,5146.0,6411.0,1.0
"$u_i$[2, 0]",0.004,0.86,-1.695,1.653,0.009,0.013,8451.0,7393.0,1.0
"$u_i$[2, 1]",-0.891,1.044,-2.91,0.866,0.053,0.037,413.0,2459.0,1.0
"$u_i$[2, 2]",-0.804,1.006,-2.646,1.013,0.047,0.033,481.0,4976.0,1.01
"$u_i$[2, 3]",0.293,0.894,-1.381,2.045,0.026,0.019,1046.0,5192.0,1.0
"$u_i$[3, 0]",1.268,1.237,-0.758,3.437,0.079,0.056,271.0,2754.0,1.01
"$u_i$[3, 1]",1.595,1.395,-0.671,3.891,0.099,0.07,223.0,2095.0,1.01
"$u_i$[3, 2]",0.448,0.911,-1.261,2.159,0.032,0.023,752.0,6634.0,1.01
"$u_i$[3, 3]",0.045,0.858,-1.654,1.684,0.01,0.013,6026.0,6753.0,1.0
"$u_i$[4, 0]",-1.484,1.333,-3.744,0.724,0.087,0.062,264.0,2478.0,1.01
"$u_i$[4, 1]",-0.391,0.907,-2.098,1.4,0.024,0.017,1258.0,4350.0,1.0
"$u_i$[4, 2]",-1.55,1.362,-3.891,0.642,0.091,0.064,259.0,2571.0,1.01
"$u_i$[4, 3]",-0.469,0.91,-2.28,1.201,0.026,0.018,1142.0,5739.0,1.0
"$u_i$[5, 0]",0.771,1.025,-1.032,2.674,0.056,0.04,353.0,2537.0,1.01
"$u_i$[5, 1]",0.608,0.953,-1.171,2.358,0.039,0.028,598.0,4499.0,1.01
"$u_i$[5, 2]",0.69,0.968,-1.072,2.487,0.045,0.032,465.0,6462.0,1.01
"$u_i$[5, 3]",0.782,1.024,-0.99,2.716,0.052,0.036,413.0,3537.0,1.01
"$u_i$[6, 0]",-0.491,0.916,-2.247,1.208,0.031,0.022,855.0,5113.0,1.01
"$u_i$[6, 1]",-1.147,1.156,-3.191,0.858,0.067,0.048,329.0,3867.0,1.01
"$u_i$[6, 2]",-0.56,0.934,-2.372,1.153,0.032,0.023,823.0,6871.0,1.0
"$u_i$[6, 3]",-0.208,0.861,-1.891,1.437,0.013,0.014,3823.0,6043.0,1.0
"$u_i$[7, 0]",0.504,0.94,-1.332,2.216,0.038,0.027,621.0,5996.0,1.01
"$u_i$[7, 1]",-1.399,1.291,-3.576,0.785,0.082,0.058,278.0,3633.0,1.01
"$u_i$[7, 2]",-0.551,0.935,-2.332,1.212,0.032,0.022,847.0,7139.0,1.0
"$u_i$[7, 3]",-0.711,0.989,-2.554,1.102,0.041,0.029,583.0,4871.0,1.0
"$u_i$[8, 0]",0.008,0.867,-1.741,1.656,0.011,0.012,4848.0,6819.0,1.0
"$u_i$[8, 1]",-1.897,1.56,-4.415,0.585,0.113,0.08,220.0,1688.0,1.01
"$u_i$[8, 2]",2.703,2.056,-0.322,5.983,0.165,0.117,160.0,232.0,1.02
"$u_i$[8, 3]",-0.471,0.926,-2.258,1.264,0.028,0.02,1035.0,5165.0,1.0
"$u_i$[9, 0]",2.273,1.799,-0.449,5.21,0.141,0.1,173.0,490.0,1.02
"$u_i$[9, 1]",1.858,1.551,-0.533,4.504,0.117,0.087,189.0,202.0,1.02
"$u_i$[9, 2]",2.69,2.056,-0.371,5.887,0.165,0.117,165.0,566.0,1.02
"$u_i$[9, 3]",2.281,1.795,-0.441,5.16,0.139,0.098,184.0,1032.0,1.02
"$u_i$[10, 0]",0.015,0.882,-1.772,1.645,0.021,0.015,1546.0,6992.0,1.0
"$u_i$[10, 1]",-0.636,0.972,-2.508,1.116,0.038,0.027,643.0,2771.0,1.0
"$u_i$[10, 2]",-1.067,1.118,-3.109,0.81,0.065,0.046,333.0,3309.0,1.01
"$u_i$[10, 3]",-0.968,1.091,-2.997,0.916,0.056,0.04,407.0,3550.0,1.01
"$u_i$[11, 0]",-0.744,0.998,-2.587,1.035,0.046,0.032,494.0,5946.0,1.0
"$u_i$[11, 1]",-0.406,0.894,-2.161,1.282,0.025,0.018,1147.0,6917.0,1.0
"$u_i$[11, 2]",-0.815,1.022,-2.656,1.072,0.049,0.034,464.0,5194.0,1.01
"$u_i$[11, 3]",0.535,0.945,-1.194,2.325,0.036,0.026,674.0,6431.0,1.0
"$u_i$[12, 0]",-2.991,2.238,-6.466,0.337,0.178,0.126,174.0,636.0,1.02
